"unitid","institution name","year","DRVIC2022.Tuition and fees, 2022-23"
"173142","Bethany Lutheran College","2022","29010"
"173300","Concordia College at Moorhead","2022","28916"
"173452","Martin Luther College","2022","17420"
"174127","Minneapolis College of Art and Design","2022","42560"
"174154","Herzing University-Minneapolis","2022","12750"
"174437","North Central University","2022","28000"
"174491","University of Northwestern-St Paul","2022","35340"
"174792","Saint Johns University","2022","52164"
"174862","Crown College","2022","29230"
"175430","Blue Mountain Christian University","2022","19280"
"175980","Millsaps College","2022","43815"
"176406","Tougaloo College","2022","10861"
"176628","Avila University","2022","22390"
"176664","Mission University","2022","15690"
"176910","Central Christian College of the Bible","2022","9850"
"177065","Columbia College","2022","24326"
"177144","Culver-Stockton College","2022","29195"
"177214","Drury University","2022","33830"
"177542","Hannibal-LaGrange University","2022","25600"
"178369","Missouri Valley College","2022","22450"
"178679","Ozark Christian College","2022","14680"
"178721","Park University","2022","12671"
"179548","Stephens College","2022","25586"
"179955","William Jewell College","2022","19610"
"180106","Carroll College","2022","39028"
"180258","University of Providence","2022","27606"
"180984","Concordia University-Nebraska","2022","37720"
"181127","Hastings College","2022","34580"
"181446","Nebraska Wesleyan University","2022","39868"
"181738","Union Adventist University","2022","27170"
"181853","York University","2022","20900"
"183239","Saint Anselm College","2022","45340"
"183822","Bloomfield College","2022","30680"
"186186","Rabbinical College of America","2022","13000"
"189413","Boricua College","2022","12025"
"189705","Canisius University","2022","31800"
"189857","Central Yeshiva Tomchei Tmimim Lubavitz","2022","8400"
"190099","Colgate University","2022","64290"
"190114","Metropolitan College of New York","2022","20188"
"190372","The Cooper Union for the Advancement of Science and Art","2022","46820"
"190983","Elmira College","2022","37004"
"191533","Hartwick College","2022","51309"
"191621","Hilbert College","2022","29900"
"191630","Hobart William Smith Colleges","2022","61725"
"191676","Houghton University","2022","16446"
"191931","Iona University","2022","44328"
"192192","Keuka College","2022","36191"
"192703","Manhattan College","2022","48658"
"193353","Mount Saint Mary College","2022","37940"
"193399","University of Mount Saint Vincent","2022","40980"
"194116","New York School of Interior Design","2022","28580"
"194392","Paul Smiths College of Arts and Science","2022","32048"
"194578","Pratt Institute-Main","2022","57599"
"194666","Rabbinical College Bobover Yeshiva Bnei Zion","2022","9500"
"195164","St Bonaventure University","2022","38770"
"195173","St. Francis College","2022","27298"
"195216","St Lawrence University","2022","62020"
"195234","The College of Saint Rose","2022","36398"
"195243","St. Thomas Aquinas College","2022","36300"
"195304","Sarah Lawrence College","2022","61234"
"195438","Sh'or Yoshuv Rabbinical College","2022","10600"
"195474","Siena College","2022","41980"
"195544","St. Joseph's University-New York","2022","32370"
"196440","Talmudical Institute of Upstate New York","2022","6150"
"197133","Vassar College","2022","64800"
"197692","Yeshivath Shaar Hatorah","2022","18950"
"197911","Barton College","2022","34400"
"197984","Belmont Abbey College","2022","18500"
"198066","Brevard College","2022","30250"
"198215","Catawba College","2022","32868"
"198303","Chowan University","2022","25880"
"198598","Greensboro College","2022","19620"
"198613","Guilford College","2022","41140"
"198677","Heritage Bible College","2022","8328"
"198756","Johnson C Smith University","2022","19504"
"198808","Lees-McRae College","2022","28840"
"198862","Livingstone College","2022","18296"
"198899","Mars Hill University","2022","36557"
"198950","Meredith College","2022","42540"
"199032","Montreat College","2022","30525"
"199069","University of Mount Olive","2022","23591"
"199209","North Carolina Wesleyan University","2022","34352"
"199306","Pfeiffer University","2022","33290"
"199412","Queens University of Charlotte","2022","40830"
"199582","Saint Augustine's University","2022","16896"
"199607","Salem College","2022","31016"
"199643","Shaw University","2022","16480"
"199698","St. Andrews University","2022","29600"
"199865","Warren Wilson College","2022","38450"
"201061","Art Academy of Cincinnati","2022","37394"
"201195","Baldwin Wallace University","2022","36850"
"201371","Bluffton University","2022","35516"
"201964","Ohio Christian University","2022","23050"
"202170","Columbus College of Art & Design","2022","38150"
"202514","Defiance College","2022","35328"
"202903","Gods Bible School and College","2022","7046"
"203085","Heidelberg University","2022","33600"
"203128","Hiram College","2022","25500"
"203368","John Carroll University","2022","47290"
"203580","Lake Erie College","2022","35024"
"203775","Malone University","2022","34875"
"203845","Marietta College","2022","38022"
"204194","Mount Vernon Nazarene University","2022","34168"
"204501","Oberlin College","2022","62024"
"204617","Ohio Dominican University","2022","33350"
"205027","Pontifical College Josephinum","2022","26763"
"205957","Franciscan University of Steubenville","2022","31080"
"206491","Wilberforce University","2022","13250"
"206507","Wilmington College","2022","29490"
"206525","Wittenberg University","2022","43106"
"207157","Randall University","2022","16742"
"207324","Oklahoma Christian University","2022","25148"
"207403","Oklahoma Baptist University","2022","32880"
"207856","Southwestern Christian University","2022","21316"
"209065","Linfield University","2022","47415"
"209409","Bushnell University","2022","33220"
"209603","Pacific Northwest College of Art","2022","45100"
"209922","Reed College","2022","64760"
"210492","Bryn Athyn College of the New Church","2022","27000"
"210571","Albright College","2022","28230"
"211291","Bucknell University","2022","61746"
"211893","Curtis Institute of Music","2022","5930"
"212009","Dickinson College","2022","61351"
"212656","Geneva College","2022","30990"
"212674","Gettysburg College","2022","61760"
"213251","Juniata College","2022","54336"
"213303","Keystone College","2022","17450"
"213987","Mercyhurst University","2022","43460"
"214148","Moore College of Art and Design","2022","47990"
"214166","Mount Aloysius College","2022","25510"
"214175","Muhlenberg College","2022","58205"
"214883","Peirce College","2022","15060"
"214971","Pennsylvania Academy of the Fine Arts","2022","42100"
"215114","Cairn University-Langhorne","2022","31965"
"215691","Rosemont College","2022","21175"
"216047","Saint Charles Borromeo Seminary-Overbrook","2022","24060"
"216278","Susquehanna University","2022","55160"
"216357","Thiel College","2022","35450"
"216542","University of Valley Forge","2022","23750"
"216667","Washington & Jefferson College","2022","50192"
"216807","Westminster College","2022","38700"
"217013","Wilson College","2022","26200"
"217165","Bryant University","2022","49329"
"217402","Providence College","2022","57928"
"217493","Rhode Island School of Design","2022","57505"
"217518","Roger Williams University","2022","40962"
"217606","Northpoint Bible College","2022","14160"
"217721","Benedict College","2022","17200"
"217873","Claflin University","2022","17046"
