"unitid","institution name","year","EF2022D.Full-time retention rate, 2022","EF2022D.Part-time retention rate, 2022","EF2022D.Student-to-faculty ratio"
"154101","Northwestern College","2022","78",,"15"
"154350","Simpson College","2022","78",,"10"
"154493","Upper Iowa University","2022","57","21","13"
"154527","Wartburg College","2022","70",,"13"
"154590","William Penn University","2022","62","0","18"
"154712","Benedictine College","2022","77",,"14"
"154855","Central Christian College of Kansas","2022","47",,"14"
"155070","Barclay College","2022","88","100","7"
"155308","Kansas Christian College","2022","52",,"15"
"155414","Kansas Wesleyan University","2022","62","0","14"
"155511","McPherson College","2022","63",,"13"
"155520","MidAmerica Nazarene University","2022","63",,"11"
"155937","Sterling College","2022","59",,"9"
"155973","Tabor College","2022","63",,"15"
"156213","Asbury University","2022","83","80","11"
"156356","Brescia University","2022","77","0","9"
"156417","Clear Creek Baptist Bible College","2022","83","100","10"
"156745","Georgetown College","2022","65",,"14"
"157100","Kentucky Christian University","2022","46",,"13"
"157377","Midway University","2022","74","0","15"
"157809","Thomas More University","2022","66","20","14"
"157863","Union College","2022","59",,"9"
"158477","Centenary College of Louisiana","2022","64",,"8"
"158802","Dillard University","2022","71",,"13"
"159568","Louisiana Christian University","2022","55",,"11"
"160959","College of the Atlantic","2022","74","0","10"
"161509","Maine College of Art & Design","2022","72",,"8"
"161518","Saint Joseph's College of Maine","2022","77",,"10"
"161563","Thomas College","2022","77",,"23"
"161572","Unity Environmental University","2022","39",,"36"
"162210","Washington Adventist University","2022","86","67","6"
"162654","Goucher College","2022","77",,"7"
"163295","Maryland Institute College of Art","2022","85","0","9"
"163462","Mount St. Mary's University","2022","68",,"13"
"163976","St. John's College","2022","79",,"8"
"164270","McDaniel College","2022","76",,"12"
"164368","Hult International Business School","2022","85",,"12"
"164492","Anna Maria College","2022","68","0","12"
"164562","Assumption University","2022","83",,"11"
"164580","Babson College","2022","95",,"16"
"164748","Berklee College of Music","2022","84","47","10"
"164872","Boston Architectural College","2022","82",,"5"
"165529","Curry College","2022","62","0","12"
"165644","Eastern Nazarene College","2022","67",,"9"
"165662","Emerson College","2022","88",,"15"
"165671","Emmanuel College","2022","81",,"13"
"165802","Fisher College","2022","55",,"11"
"165936","Gordon College","2022","84","33","14"
"166054","Hellenic College-Holy Cross Greek Orthodox School of Theology","2022","67",,"7"
"166391","Lasell University","2022","77",,"11"
"166850","Merrimack College","2022","82",,"13"
"166939","Mount Holyoke College","2022","90",,"9"
"167260","Nichols College","2022","72",,"16"
"167996","Stonehill College","2022","89",,"12"
"168227","Wentworth Institute of Technology","2022","82","50","17"
"168342","Williams College","2022","97",,"6"
"168528","Adrian College","2022","67",,"16"
"168591","Alma College","2022","73",,"14"
"168786","Aquinas College","2022","77",,"11"
"169080","Calvin University","2022","86","100","12"
"169327","Cleary University","2022","52","40","13"
"169363","Concordia University Ann Arbor","2022","68",,"11"
"169442","College for Creative Studies","2022","76","45","10"
"169479","Davenport University","2022","74","45","16"
"169983","Kettering University","2022","87",,"12"
"170000","Grace Christian University","2022","69","7","15"
"170967","Rochester University","2022","61","17","14"
"171599","The University of Olivet","2022","65","100","14"
"171881","Kuyper College","2022","82","100","7"
"172033","Sacred Heart Major Seminary","2022","100",,"7"
"172264","Siena Heights University","2022","70","0","12"
"173142","Bethany Lutheran College","2022","79","0","12"
"173300","Concordia College at Moorhead","2022","84",,"12"
"173452","Martin Luther College","2022","86",,"9"
"174127","Minneapolis College of Art and Design","2022","75",,"9"
"174154","Herzing University-Minneapolis","2022","76","71","14"
"174437","North Central University","2022","76",,"11"
"174491","University of Northwestern-St Paul","2022","81","50","15"
"174792","Saint Johns University","2022","86",,"11"
"174862","Crown College","2022","68","38","17"
"175430","Blue Mountain Christian University","2022","65","100","14"
"175980","Millsaps College","2022","83",,"9"
"176406","Tougaloo College","2022","82",,"9"
"176628","Avila University","2022","79",,"10"
"176664","Mission University","2022","72",,"11"
"176910","Central Christian College of the Bible","2022","68",,"9"
"177065","Columbia College","2022","62","24","20"
"177144","Culver-Stockton College","2022","65",,"14"
"177214","Drury University","2022","78",,"12"
"177542","Hannibal-LaGrange University","2022","58","100","11"
"178369","Missouri Valley College","2022","41","0","13"
"178679","Ozark Christian College","2022","88","50","15"
"178721","Park University","2022","59","32","14"
"179548","Stephens College","2022","63","67","8"
"179955","William Jewell College","2022","75",,"10"
"180106","Carroll College","2022","78",,"12"
"180258","University of Providence","2022","67","29","7"
"180984","Concordia University-Nebraska","2022","72",,"12"
"181127","Hastings College","2022","72",,"12"
"181446","Nebraska Wesleyan University","2022","75",,"11"
"181738","Union Adventist University","2022","68",,"8"
"181853","York University","2022","65",,"11"
"183239","Saint Anselm College","2022","89",,"11"
"183822","Bloomfield College","2022","81","25","13"
"186186","Rabbinical College of America","2022","72",,"11"
"189413","Boricua College","2022","91",,"20"
"189705","Canisius University","2022","78","100","11"
"189857","Central Yeshiva Tomchei Tmimim Lubavitz","2022","80",,"30"
"190099","Colgate University","2022","94",,"9"
"190114","Metropolitan College of New York","2022","31","67","11"
"190372","The Cooper Union for the Advancement of Science and Art","2022","93",,"9"
"190983","Elmira College","2022","74",,"7"
"191533","Hartwick College","2022","69","100","10"
"191621","Hilbert College","2022","66",,"14"
"191630","Hobart William Smith Colleges","2022","87",,"8"
"191676","Houghton University","2022","81","100","10"
"191931","Iona University","2022","79",,"15"
"192192","Keuka College","2022","63",,"12"
"192703","Manhattan College","2022","76","0","11"
"193353","Mount Saint Mary College","2022","79","0","12"
"193399","University of Mount Saint Vincent","2022","69","0","14"
"194116","New York School of Interior Design","2022","89",,"11"
"194392","Paul Smiths College of Arts and Science","2022","69",,"13"
"194578","Pratt Institute-Main","2022","89","40","9"
"194666","Rabbinical College Bobover Yeshiva Bnei Zion","2022","100",,"25"
"195164","St Bonaventure University","2022","80","100","11"
"195173","St. Francis College","2022","70","100","15"
"195216","St Lawrence University","2022","85",,"11"
"195234","The College of Saint Rose","2022","69","100","14"
"195243","St. Thomas Aquinas College","2022","71",,"15"
"195304","Sarah Lawrence College","2022","79",,"11"
"195438","Sh'or Yoshuv Rabbinical College","2022",,,"8"
"195474","Siena College","2022","85",,"13"
"195544","St. Joseph's University-New York","2022","82","11","12"
"196440","Talmudical Institute of Upstate New York","2022","75",,"7"
"197133","Vassar College","2022","94",,"7"
"197692","Yeshivath Shaar Hatorah","2022","96",,"10"
"197911","Barton College","2022","74",,"13"
"197984","Belmont Abbey College","2022","66","0","12"
"198066","Brevard College","2022","69","33","10"
"198215","Catawba College","2022","65",,"11"
"198303","Chowan University","2022","63",,"16"
"198598","Greensboro College","2022","59",,"10"
"198613","Guilford College","2022","66",,"12"
"198677","Heritage Bible College","2022","33","100","2"
"198756","Johnson C Smith University","2022","57","75","11"
"198808","Lees-McRae College","2022","77",,"10"
"198862","Livingstone College","2022","70",,"13"
"198899","Mars Hill University","2022","62","50","11"
"198950","Meredith College","2022","77","100","10"
"199032","Montreat College","2022","62","0","13"
"199069","University of Mount Olive","2022","63","63","16"
"199209","North Carolina Wesleyan University","2022","66","67","12"
"199306","Pfeiffer University","2022","61",,"14"
"199412","Queens University of Charlotte","2022","72","50","9"
"199582","Saint Augustine's University","2022","64","50","10"
"199607","Salem College","2022","73",,"16"
"199643","Shaw University","2022","57","100","12"
"199698","St. Andrews University","2022","59",,"14"
"199865","Warren Wilson College","2022","69",,"8"
"201061","Art Academy of Cincinnati","2022","70",,"11"
"201195","Baldwin Wallace University","2022","82","67","9"
"201371","Bluffton University","2022","70",,"11"
"201964","Ohio Christian University","2022","61","0","8"
"202170","Columbus College of Art & Design","2022","78",,"10"
"202514","Defiance College","2022","58","0","10"
"202903","Gods Bible School and College","2022","78","100","9"
"203085","Heidelberg University","2022","75",,"14"
"203128","Hiram College","2022","69",,"10"
"203368","John Carroll University","2022","86",,"14"
"203580","Lake Erie College","2022","66","0","11"
"203775","Malone University","2022","73",,"11"
"203845","Marietta College","2022","64",,"9"
"204194","Mount Vernon Nazarene University","2022","70",,"11"
"204501","Oberlin College","2022","87",,"9"
"204617","Ohio Dominican University","2022","58",,"13"
"205027","Pontifical College Josephinum","2022","100",,"5"
"205957","Franciscan University of Steubenville","2022","86","57","16"
"206491","Wilberforce University","2022","70","73","19"
"206507","Wilmington College","2022","67",,"13"
"206525","Wittenberg University","2022","75",,"10"
"207157","Randall University","2022","51","100","9"
"207324","Oklahoma Christian University","2022","77","63","15"
"207403","Oklahoma Baptist University","2022","71",,"15"
"207856","Southwestern Christian University","2022","53","29","12"
"209065","Linfield University","2022","81",,"10"
"209409","Bushnell University","2022","78",,"12"
"209603","Pacific Northwest College of Art","2022","70","0","9"
"209922","Reed College","2022","86",,"9"
"210492","Bryn Athyn College of the New Church","2022","78","20","8"
"210571","Albright College","2022","64",,"9"
"211291","Bucknell University","2022","91",,"9"
"211893","Curtis Institute of Music","2022","100",,"2"
"212009","Dickinson College","2022","89",,"9"
"212656","Geneva College","2022","75","0","11"
"212674","Gettysburg College","2022","89",,"10"
"213251","Juniata College","2022","81","100","10"
"213303","Keystone College","2022","64","60","14"
"213987","Mercyhurst University","2022","80","100","14"
"214148","Moore College of Art and Design","2022","73","0","7"
"214166","Mount Aloysius College","2022","74","33","11"
"214175","Muhlenberg College","2022","91",,"8"
"214883","Peirce College","2022","100",,"9"
"214971","Pennsylvania Academy of the Fine Arts","2022","80",,"5"
"215114","Cairn University-Langhorne","2022","79","50","11"
"215691","Rosemont College","2022","82","60","13"
"216047","Saint Charles Borromeo Seminary-Overbrook","2022","83",,"6"
"216278","Susquehanna University","2022","85",,"13"
"216357","Thiel College","2022","71","0","11"
"216542","University of Valley Forge","2022","71","67","11"
"216667","Washington & Jefferson College","2022","83",,"10"
"216807","Westminster College","2022","82","0","12"
"217013","Wilson College","2022","69",,"13"
"217165","Bryant University","2022","86",,"13"
"217402","Providence College","2022","90","63","11"
"217493","Rhode Island School of Design","2022","95",,"9"
"217518","Roger Williams University","2022","77","25","14"
"217606","Northpoint Bible College","2022","84","25","9"
"217721","Benedict College","2022","65",,"17"
"217873","Claflin University","2022","79",,"13"
"217934","Columbia College","2022","55","38","11"
"218070","Furman University","2022","88",,"9"
"218238","Limestone University","2022","65","40","11"
"218414","Newberry College","2022","69",,"14"
"218919","Voorhees University","2022","65","33","13"
"219091","Dakota Wesleyan University","2022","69",,"12"
"219718","Bethel University","2022","56","27","17"
"219833","Christian Brothers University","2022","71",,"9"
"219949","Cumberland University","2022","59","67","16"
"220181","Fisk University","2022","79","33","12"
"220206","Welch College","2022","70","57","8"
"220710","Maryville College","2022","66",,"12"
"221351","Rhodes College","2022","91",,"9"
"221731","Tennessee Wesleyan University","2022","75",,"10"
"221953","Tusculum University","2022","55","100","16"
"222877","Arlington Baptist University","2022","33",,"18"
"222983","Austin College","2022","84",,"11"
"223117","Baptist Missionary Association Theological Seminary","2022",,"53","4"
"224244","Dallas Christian College","2022","34","60","13"
"224527","East Texas Baptist University","2022","66",,"14"
"225201","Hallmark University","2022","69",,"18"
"225548","Howard Payne University","2022","55","13","10"
"225575","Huston-Tillotson University","2022","69","0","16"
"225885","Jarvis Christian University","2022","41",,"12"
"226231","LeTourneau University","2022","77","45","13"
"226587","McMurry University","2022","64","0","13"
"227429","Paul Quinn College","2022","72",,"20"
"228042","Schreiner University","2022","62",,"15"
"228468","Southwestern Adventist University","2022","79","100","12"
"229267","Trinity University","2022","91",,"9"
"230816","Bennington College","2022","84","38","9"
"230852","Champlain College","2022","76","33","14"
"230889","Goddard College","2022","80",,"6"
"230995","Norwich University","2022","74","57","11"
"231059","Saint Michael's College","2022","79",,"10"
"231420","Averett University","2022","63","0","12"
"231554","Bluefield University","2022","58",,"15"
"231581","Bridgewater College","2022","75",,"13"
"232089","Ferrum College","2022","58",,"11"
"232308","Hollins University","2022","68",,"8"
"233295","Randolph-Macon College","2022","81","100","10"
"233301","Randolph College","2022","67",,"7"
"233426","Roanoke College","2022","74",,"11"
"233718","Sweet Briar College","2022","62",,"8"
"234173","Virginia Wesleyan University","2022","69",,"13"
"235422","Heritage University","2022","74","62","8"
"237136","Appalachian Bible College","2022","76","100","9"
"237181","Bethany College","2022","75",,"12"
"238476","Carthage College","2022","74","33","13"
"238980","Lakeland University","2022","60","50","16"
"239080","Marian University","2022","65",,"12"
"239318","Milwaukee School of Engineering","2022","82","0","13"
"239628","Ripon College","2022","76",,"14"
"239716","Saint Norbert College","2022","82",,"11"
"240338","Wisconsin Lutheran College","2022","75",,"12"
"245652","St. John's College","2022","74",,"8"
"245953","Mid-America Christian University","2022","69","26","13"
"363712","Yeshivah Gedolah Rabbinical College","2022","80",,"6"
"367884","Hodges University","2022","29","33","10"
"385619","Everglades University","2022","75",,"17"
"399911","Soka University of America","2022","93",,"7"
"426314","Embry-Riddle Aeronautical University-Worldwide","2022","59","43","19"
"433387","Western Governors University","2022","65",,"42"
"433536","Herzing University-New Orleans","2022","43","100","13"
"440794","Pillar College","2022","100",,"10"
"443340","Williamson Christian College","2022","100",,"7"
"444398","Baptist University of the Americas","2022","63",,"10"
"445267","Central Methodist University-College of Graduate and Extended Studies","2022","33","100","19"
"446233","Ecclesia College","2022","52","100","10"
"447953","SUM Bible College and Theological Seminary","2022","56","13","16"
"456481","Polytechnic University of Puerto Rico-Miami","2022",,"86","3"
"456490","Polytechnic University of Puerto Rico-Orlando","2022","100","67","5"
"457402","University of Fort Lauderdale","2022","60","67","5"
"457484","Pacific Rim Christian University","2022","67",,"6"
"457697","City Vision University","2022","100","70","7"
"459842","Herzing University-Kenosha","2022","67","88","15"
"461032","Carolina College of Biblical Studies","2022",,,"4"
"461759","Simmons College of Kentucky","2022","61",,"8"
"461795","North American University","2022","37","0","14"
"464226","Ottawa University-Surprise","2022","47","13","16"
"474863","Los Angeles Pacific University","2022","25","20","21"
"475398","Catholic Distance University","2022",,"0","3"
"475608","Criswell College","2022","73","0","5"
"480569","Florida Institute of Technology-Online","2022","42","0","14"
"480985","Midwives College of Utah","2022","40",,"5"
"486284","Bethany Global University","2022","42",,"16"
"487603","Northwest University-Center for Online and Extended Education","2022","60","31","17"
"488785","University of Saint Katherine","2022","56",,"12"
"490230","Reformed University","2022","78",,"15"
"497408","Bridges Christian College","2022","40","0","7"
"497480","Reach University","2022","58",,"37"
