UnitID,Institution Name,Tuition and fees - Total (F2122_F2),Total revenues and investment return - Total (F2122_F2),Net total revenues  after assets released from restriction - Total (F2122_F2),Tuition and fees - Total (F2021_F2),Total revenues and investment return - Total (F2021_F2),Net total revenues  after assets released from restriction - Total (F2021_F2),Tuition and fees - Total (F1920_F2),Total revenues and investment return - Total (F1920_F2),Net total revenues  after assets released from restriction - Total (F1920_F2),Tuition and fees - Total (F1819_F2),Total revenues and investment return - Total (F1819_F2),Net total revenues  after assets released from restriction - Total (F1819_F2),
125763,Whittier College,25796747,32612620,32612620,33348836,91875840,91875840,41562994,57343990,57343990,42837853,68861150,68861150,
206491,Wilberforce University,5269037,18358288,18358288,5418425,40652171,40652171,5656070,17360052,17360052,6339323,16891243,16891243,
122728,William Jessup University,23838924,44477130,44477130,26729605,45804954,45804954,26676438,47709275,47709275,27049028,36424641,36424641,
179955,William Jewell College,9065924,30299111,30299111,9240191,41287848,41287848,8959216,24305472,24305472,9704258,39284131,39284131,
154590,William Penn University,13347906,25620389,25620389,12612071,28262256,28262256,11597495,24116594,24116594,11145571,24620380,24620380,
107877,Williams Baptist University,3530697,13467480,13467480,4382287,15075065,15075065,4224795,10426040,10426040,3573439,8840896,8840896,
168342,Williams College,80122755,-310343929,-310343929,59678073,1546875543,1546875543,73086044,234789885,234789885,72226909,421366006,421366006,
443340,Williamson Christian College,611381,1140278,1140278,506451,1350402,1350402,752385,966165,966165,760850,922630,922630,
206507,Wilmington College,13139639,19969933,19969933,13399945,61405042,61405042,13553971,39358242,39358242,13717732,26182189,26182189,
217013,Wilson College,13962133,17260307,17260307,15110495,40950853,40950853,14736959,27140691,27140691,13321879,27513742,27513742,
240338,Wisconsin Lutheran College,13970670,33016303,33016303,13675094,47549756,47549756,13368297,27417047,27417047,13693110,37309708,37309708,
206525,Wittenberg University,16988470,51086110,51086110,19035631,54280708,54280708,20967209,43949258,43949258,25320744,54097226,54097226,
125897,Woodbury University,26351588,29134568,29134568,29216108,38537408,38537408,32783594,39920542,39920542,30563265,36379356,36379356,
363712,Yeshivah Gedolah Rabbinical College,367677,1948285,1948285,461151,1225923,1225923,264204,639826,639826,249292,658828,658828,
197692,Yeshivath Shaar Hatorah,1515388,2972494,2972494,1443222,2855387,2855387,1361531,2700432,2700432,1597347,2714645,2714645,
181853,York University,3825437,13457123,13457123,3735649,18741019,18741019,3967940,11662221,11662221,3683030,11304820,11304820,
141361,Young Harris College,8484042,8713261,8713261,8787873,54591828,54591828,8933387,31203527,31203527,9308430,26560620,26560620,
