"unitid","institution name","year","DRVEF122022_RV.Total 12-month unduplicated headcount","SAL2022_NIS.Full-time non-instructional staff - number","DRVOM2022_RV.Percent full-time first-time receiving an award - 4 years","DRVOM2022_RV.Percent full-time first-time receiving an award - 6 years","DRVOM2022_RV.Percent full-time first-time receiving an award - 8 years","DRVOM2022_RV.Percent part-time first-time receiving an award - 4 years","DRVOM2022_RV.Percent part-time first-time receiving an award - 6 years","DRVOM2022_RV.Percent part-time first-time receiving an award - 8 years"
"169080","Calvin University","2022","3783","347","63","75","76","0","0","0"
"169327","Cleary University","2022","971","64","19","38","38","3","10","14"
"169363","Concordia University Ann Arbor","2022","1331","123","33","50","50","29","36","36"
"169442","College for Creative Studies","2022","1687","203","33","54","57","14","29","33"
"169479","Davenport University","2022","6677","333","36","48","49","7","12","14"
"169983","Kettering University","2022","2246","249","10","66","74",,,
"170000","Grace Christian University","2022","1588","70","35","43","43","0","0","0"
"170967","Rochester University","2022","1238","84","36","38","38","48","52","52"
"171599","The University of Olivet","2022","952","125","47","47","47","0","0","0"
"171881","Kuyper College","2022","155","24","34","39","43","0","50","50"
"172033","Sacred Heart Major Seminary","2022","491","31","100","100","100","100","100","100"
"172264","Siena Heights University","2022","2352","169","42","51","52","20","33","33"
"173142","Bethany Lutheran College","2022","923","80","48","63","64","0","0","0"
"173300","Concordia College at Moorhead","2022","2015","342","63","67","68",,,
"173452","Martin Luther College","2022","1243","59","44","75","75","0","0","0"
"174127","Minneapolis College of Art and Design","2022","860","107","53","63","63",,,
"174154","Herzing University-Minneapolis","2022","1153","19","57","57","60","50","58","58"
"174437","North Central University","2022","1098","108","42","53","55","0","0","0"
"174491","University of Northwestern-St Paul","2022","3720","277","58","68","69","36","36","45"
"174792","Saint Johns University","2022","1724","288","69","74","75",,,
"174862","Crown College","2022","1741","76","48","56","57","0","26","26"
"175430","Blue Mountain Christian University","2022","1169","68","46","50","53","33","33","33"
"175980","Millsaps College","2022","806","142","66","68","68",,,
"176406","Tougaloo College","2022","907","129","33","36","45","0","0","0"
"176628","Avila University","2022","1568","117","35","51","52",,,
"176664","Mission University","2022","323","22","38","38","38","0","0","0"
"176910","Central Christian College of the Bible","2022","240","47","28","40","40","13","27","27"
"177065","Columbia College","2022","9491","490","17","23","26","11","15","17"
"177144","Culver-Stockton College","2022","1034","125","40","43","44","0","0","0"
"177214","Drury University","2022","1762","212","40","59","59",,,
"177542","Hannibal-LaGrange University","2022","866","62","40","47","51","67","71","79"
"178369","Missouri Valley College","2022","1939","104","12","23","24","0","0","0"
"178679","Ozark Christian College","2022","619","75","29","56","57","25","50","50"
"178721","Park University","2022","11766","290","14","27","28","2","4","4"
"179548","Stephens College","2022","617","109","54","59","60","0","0","0"
"179955","William Jewell College","2022","877","143","61","67","67",,,
"180106","Carroll College","2022","1195","132","51","67","67","0","100","100"
"180258","University of Providence","2022","1326","95","28","40","41","17","17","17"
"180984","Concordia University-Nebraska","2022","3652","145","46","63","63",,,
"181127","Hastings College","2022","991","104","51","60","60","50","50","50"
"181446","Nebraska Wesleyan University","2022","4297","146","52","62","63","0","0","0"
"181738","Union Adventist University","2022","829","95","27","49","49","0","0","0"
"181853","York University","2022","783","67","37","52","52","0","50","50"
"183239","Saint Anselm College","2022","2021","297","81","83","83",,,
"183822","Bloomfield College","2022","1391","130","18","32","34","4","9","9"
"186186","Rabbinical College of America","2022","389","21","5","20","20",,,
"189413","Boricua College","2022","551","59","80","94","94",,,
"189705","Canisius University","2022","3047","244","63","68","69","0","0","0"
"189857","Central Yeshiva Tomchei Tmimim Lubavitz","2022","696","15","0","16","27",,,
"190099","Colgate University","2022","3238","627","85","91","91",,,
"190114","Metropolitan College of New York","2022","978","57","26","28","29","8","12","12"
"190372","The Cooper Union for the Advancement of Science and Art","2022","968","159","67","80","81",,,
"190983","Elmira College","2022","733","143","61","68","68","57","64","64"
"191533","Hartwick College","2022","1248","205","54","59","59",,,
"191621","Hilbert College","2022","2734","79","52","55","56",,,
"191630","Hobart William Smith Colleges","2022","1715","311","71","77","77",,,
"191676","Houghton University","2022","1011","112","60","68","70",,,
"191931","Iona University","2022","4105","385","52","60","60","0","0","0"
"192192","Keuka College","2022","1403","126","46","53","53","50","50","50"
"192703","Manhattan College","2022","3915","330","55","71","72",,,
"193353","Mount Saint Mary College","2022","2320","221","48","60","60","0","0","0"
"193399","University of Mount Saint Vincent","2022","3669","241","43","63","64","33","33","33"
"194116","New York School of Interior Design","2022","871","48","44","69","69","50","50","50"
