"unitid","institution name","year","OM2022.Cohort category","OM2022_RV.Adjusted 2014-15 cohort","IDX_OM"
"140951","Savannah College of Art and Design","2022","Total entering, Total","2912","-2"
"140988","Shorter University","2022","Total entering, Total","693","-2"
"141167","Thomas University","2022","Total entering, Total","309","-2"
"141185","Toccoa Falls College","2022","Total entering, Total","300","-2"
"141237","Truett McConnell University","2022","Total entering, Total","293","-2"
"141325","Wesleyan College","2022","Total entering, Total","247","-2"
"141361","Young Harris College","2022","Total entering, Total","535","-2"
"142294","The College of Idaho","2022","Total entering, Total","357","-2"
"143048","School of the Art Institute of Chicago","2022","Total entering, Total","895","-2"
"143084","Augustana College","2022","Total entering, Total","794","-2"
"144281","Columbia College Chicago","2022","Total entering, Total","2774","-2"
"145372","Greenville University","2022","Total entering, Total","405","-2"
"145691","Illinois College","2022","Total entering, Total","301","-2"
"146481","Lake Forest College","2022","Total entering, Total","494","-2"
"147129","Methodist College","2022","Total entering, Total","157","-2"
"148131","Quincy University","2022","Total entering, Total","333","-2"
"148405","Rockford University","2022","Total entering, Total","464","-2"
"148627","Saint Xavier University","2022","Total entering, Total","1109","-2"
"149329","Telshe Yeshiva-Chicago","2022","Total entering, Total","20","-2"
"149505","Trinity Christian College","2022","Total entering, Total","460","-2"
"149639","VanderCook College of Music","2022","Total entering, Total","38","-2"
"150145","Bethel University","2022","Total entering, Total","527","-2"
"150172","Calumet College of Saint Joseph","2022","Total entering, Total","333","-2"
"150455","Earlham College","2022","Total entering, Total","290","-2"
"150604","Franklin College","2022","Total entering, Total","363","-2"
"151810","Martin University","2022","Total entering, Total","198","-2"
"152318","Rose-Hulman Institute of Technology","2022","Total entering, Total","593","-2"
"152530","Taylor University","2022","Total entering, Total","490","-2"
"153001","Buena Vista University","2022","Total entering, Total","849","-2"
"153162","Cornell College","2022","Total entering, Total","296","-2"
"153250","Dordt University","2022","Total entering, Total","419","-2"
"153375","Grand View University","2022","Total entering, Total","716","-2"
"153825","Loras College","2022","Total entering, Total","445","-2"
"153977","Mercy College of Health Sciences","2022","Total entering, Total","330","-2"
"154101","Northwestern College","2022","Total entering, Total","369","-2"
"154350","Simpson College","2022","Total entering, Total","495","-2"
"154493","Upper Iowa University","2022","Total entering, Total","2263","-2"
"154527","Wartburg College","2022","Total entering, Total","511","-2"
"154590","William Penn University","2022","Total entering, Total","563","-2"
"154712","Benedictine College","2022","Total entering, Total","602","-2"
"154855","Central Christian College of Kansas","2022","Total entering, Total","725","-2"
"155070","Barclay College","2022","Total entering, Total","95","-2"
"155308","Kansas Christian College","2022","Total entering, Total","20","-2"
"155414","Kansas Wesleyan University","2022","Total entering, Total","289","-2"
"155511","McPherson College","2022","Total entering, Total","249","-2"
"155520","MidAmerica Nazarene University","2022","Total entering, Total","813","-2"
"155937","Sterling College","2022","Total entering, Total","270","-2"
"155973","Tabor College","2022","Total entering, Total","304","-2"
"156213","Asbury University","2022","Total entering, Total","528","-2"
"156356","Brescia University","2022","Total entering, Total","415","-2"
"156417","Clear Creek Baptist Bible College","2022","Total entering, Total","58","-2"
"156745","Georgetown College","2022","Total entering, Total","330","-2"
"157100","Kentucky Christian University","2022","Total entering, Total","214","-2"
"157377","Midway University","2022","Total entering, Total","320","-2"
"157809","Thomas More University","2022","Total entering, Total","400","-2"
"157863","Union College","2022","Total entering, Total","342","-2"
"158477","Centenary College of Louisiana","2022","Total entering, Total","165","-2"
"158802","Dillard University","2022","Total entering, Total","408","-2"
"159568","Louisiana Christian University","2022","Total entering, Total","322","-2"
"160959","College of the Atlantic","2022","Total entering, Total","104","-2"
"161509","Maine College of Art & Design","2022","Total entering, Total","178","-2"
"161518","Saint Joseph's College of Maine","2022","Total entering, Total","440","-2"
"161563","Thomas College","2022","Total entering, Total","293","-2"
"161572","Unity Environmental University","2022","Total entering, Total","258","-2"
"162210","Washington Adventist University","2022","Total entering, Total","232","-2"
"162654","Goucher College","2022","Total entering, Total","451","-2"
"163295","Maryland Institute College of Art","2022","Total entering, Total","563","-2"
"163462","Mount St. Mary's University","2022","Total entering, Total","652","-2"
"163976","St. John's College","2022","Total entering, Total","138","-2"
"164270","McDaniel College","2022","Total entering, Total","500","-2"
"164368","Hult International Business School","2022","Total entering, Total","188","-2"
"164492","Anna Maria College","2022","Total entering, Total","235","-2"
"164562","Assumption University","2022","Total entering, Total","707","-2"
"164580","Babson College","2022","Total entering, Total","603","-2"
"164748","Berklee College of Music","2022","Total entering, Total","1985","-2"
"164872","Boston Architectural College","2022","Total entering, Total","93","-2"
"165529","Curry College","2022","Total entering, Total","999","-2"
"165644","Eastern Nazarene College","2022","Total entering, Total","300","-2"
"165662","Emerson College","2022","Total entering, Total","1212","-2"
"165671","Emmanuel College","2022","Total entering, Total","586","-2"
"165802","Fisher College","2022","Total entering, Total","644","-2"
"165936","Gordon College","2022","Total entering, Total","478","-2"
"166054","Hellenic College-Holy Cross Greek Orthodox School of Theology","2022","Total entering, Total","42","-2"
"166391","Lasell University","2022","Total entering, Total","622","-2"
"166850","Merrimack College","2022","Total entering, Total","970","-2"
"166939","Mount Holyoke College","2022","Total entering, Total","673","-2"
"167260","Nichols College","2022","Total entering, Total","475","-2"
"167996","Stonehill College","2022","Total entering, Total","644","-2"
"168227","Wentworth Institute of Technology","2022","Total entering, Total","1350","-2"
"168342","Williams College","2022","Total entering, Total","555","-2"
"168528","Adrian College","2022","Total entering, Total","579","-2"
"168591","Alma College","2022","Total entering, Total","411","-2"
"168786","Aquinas College","2022","Total entering, Total","450","-2"
"169080","Calvin University","2022","Total entering, Total","1040","-2"
"169327","Cleary University","2022","Total entering, Total","195","-2"
"169363","Concordia University Ann Arbor","2022","Total entering, Total","282","-2"
"169442","College for Creative Studies","2022","Total entering, Total","413","-2"
