"unitid","institution name","year","SAL2019_NIS_RV.Full-time non-instructional staff - number"
"163462","Mount St. Mary's University","2019","262"
"163976","St. John's College","2019","107"
"164270","McDaniel College","2019","251"
"164368","Hult International Business School","2019","140"
"164492","Anna Maria College","2019","92"
"164562","Assumption University","2019","187"
"164580","Babson College","2019","656"
"164748","Berklee College of Music","2019","734"
"164872","Boston Architectural College","2019","72"
"165529","Curry College","2019","214"
"165644","Eastern Nazarene College","2019","88"
"165662","Emerson College","2019","551"
"165671","Emmanuel College","2019","178"
"165802","Fisher College","2019","89"
"165936","Gordon College","2019","313"
"166054","Hellenic College-Holy Cross Greek Orthodox School of Theology","2019","43"
"166391","Lasell University","2019","214"
"166850","Merrimack College","2019","421"
"166939","Mount Holyoke College","2019","674"
"167260","Nichols College","2019","133"
"167996","Stonehill College","2019","392"
"168227","Wentworth Institute of Technology","2019","366"
"168342","Williams College","2019","755"
"168528","Adrian College","2019","216"
"168591","Alma College","2019","168"
"168786","Aquinas College","2019","171"
"169080","Calvin University","2019","406"
"169327","Cleary University","2019","56"
"169363","Concordia University Ann Arbor","2019","94"
"169442","College for Creative Studies","2019","229"
"169479","Davenport University","2019","358"
"169983","Kettering University","2019","276"
"170000","Grace Christian University","2019","80"
"170967","Rochester University","2019","81"
"171599","The University of Olivet","2019","124"
"171881","Kuyper College","2019","22"
"172033","Sacred Heart Major Seminary","2019","32"
"172264","Siena Heights University","2019","181"
"173142","Bethany Lutheran College","2019","77"
"173300","Concordia College at Moorhead","2019","362"
"173452","Martin Luther College","2019","61"
"174127","Minneapolis College of Art and Design","2019","120"
"174154","Herzing University-Minneapolis","2019","15"
"174437","North Central University","2019","145"
"174491","University of Northwestern-St Paul","2019","322"
"174792","Saint Johns University","2019","305"
"174862","Crown College","2019","55"
"175430","Blue Mountain Christian University","2019","62"
"175980","Millsaps College","2019","162"
"176406","Tougaloo College","2019","181"
"176628","Avila University","2019","126"
"176664","Mission University","2019","18"
"176910","Central Christian College of the Bible","2019","24"
"177065","Columbia College","2019","579"
"177144","Culver-Stockton College","2019","129"
"177214","Drury University","2019","233"
"177542","Hannibal-LaGrange University","2019","71"
"178369","Missouri Valley College","2019","117"
"178679","Ozark Christian College","2019","74"
"178721","Park University","2019","398"
"179548","Stephens College","2019","134"
"179955","William Jewell College","2019","125"
"180106","Carroll College","2019","130"
"180258","University of Providence","2019","126"
"180984","Concordia University-Nebraska","2019","117"
"181127","Hastings College","2019","111"
"181446","Nebraska Wesleyan University","2019","166"
"181738","Union Adventist University","2019","107"
"181853","York University","2019","62"
"183239","Saint Anselm College","2019","393"
"183822","Bloomfield College","2019","157"
"186186","Rabbinical College of America","2019","19"
"189413","Boricua College","2019","67"
"189705","Canisius University","2019","336"
"189857","Central Yeshiva Tomchei Tmimim Lubavitz","2019","16"
"190099","Colgate University","2019","661"
"190114","Metropolitan College of New York","2019","66"
"190372","The Cooper Union for the Advancement of Science and Art","2019","160"
"190983","Elmira College","2019","121"
"191533","Hartwick College","2019","176"
"191621","Hilbert College","2019","78"
"191630","Hobart William Smith Colleges","2019","317"
"191676","Houghton University","2019","119"
"191931","Iona University","2019","369"
"192192","Keuka College","2019","151"
"192703","Manhattan College","2019","385"
"193353","Mount Saint Mary College","2019","242"
"193399","University of Mount Saint Vincent","2019","224"
"194116","New York School of Interior Design","2019","50"
"194392","Paul Smiths College of Arts and Science","2019","93"
"194578","Pratt Institute-Main","2019","609"
"194666","Rabbinical College Bobover Yeshiva Bnei Zion","2019","9"
"195164","St Bonaventure University","2019","295"
"195173","St. Francis College","2019","177"
"195216","St Lawrence University","2019","536"
"195234","The College of Saint Rose","2019","355"
"195243","St. Thomas Aquinas College","2019","103"
"195304","Sarah Lawrence College","2019","230"
"195438","Sh'or Yoshuv Rabbinical College","2019","16"
"195474","Siena College","2019","391"
"195544","St. Joseph's University-New York","2019","112"
"196440","Talmudical Institute of Upstate New York","2019",
"197133","Vassar College","2019","670"
"197692","Yeshivath Shaar Hatorah","2019","8"
"197911","Barton College","2019","145"
"197984","Belmont Abbey College","2019","140"
"198066","Brevard College","2019","147"
"198215","Catawba College","2019","164"
"198303","Chowan University","2019","145"
"198598","Greensboro College","2019","90"
"198613","Guilford College","2019","202"
"198677","Heritage Bible College","2019","5"
"198756","Johnson C Smith University","2019","172"
"198808","Lees-McRae College","2019","87"
"198862","Livingstone College","2019","155"
"198899","Mars Hill University","2019","184"
"198950","Meredith College","2019","283"
"199032","Montreat College","2019","82"
"199069","University of Mount Olive","2019","196"
"199209","North Carolina Wesleyan University","2019","158"
"199306","Pfeiffer University","2019","94"
"199412","Queens University of Charlotte","2019","245"
"199582","Saint Augustine's University","2019","123"
"199607","Salem College","2019","89"
"199643","Shaw University","2019","153"
"199698","St. Andrews University","2019","172"
"199865","Warren Wilson College","2019","122"
"201061","Art Academy of Cincinnati","2019","30"
"201195","Baldwin Wallace University","2019","397"
"201371","Bluffton University","2019","83"
"201964","Ohio Christian University","2019","142"
"202170","Columbus College of Art & Design","2019","122"
"202514","Defiance College","2019","78"
"202903","Gods Bible School and College","2019","40"
"203085","Heidelberg University","2019","185"
"203128","Hiram College","2019","130"
"203368","John Carroll University","2019","331"
"203580","Lake Erie College","2019","98"
"203775","Malone University","2019","134"
"203845","Marietta College","2019","248"
"204194","Mount Vernon Nazarene University","2019","222"
"204501","Oberlin College","2019","662"
"204617","Ohio Dominican University","2019","126"
"205027","Pontifical College Josephinum","2019","33"
"205957","Franciscan University of Steubenville","2019","207"
"206491","Wilberforce University","2019","59"
"206507","Wilmington College","2019","123"
"206525","Wittenberg University","2019","199"
"207157","Randall University","2019","21"
"207324","Oklahoma Christian University","2019","192"
"207403","Oklahoma Baptist University","2019","191"
"207856","Southwestern Christian University","2019","36"
"209065","Linfield University","2019","219"
"209409","Bushnell University","2019","81"
"209603","Pacific Northwest College of Art","2019","78"
"209922","Reed College","2019","341"
"210492","Bryn Athyn College of the New Church","2019","40"
"210571","Albright College","2019","224"
"211291","Bucknell University","2019","920"
"211893","Curtis Institute of Music","2019","57"
"212009","Dickinson College","2019","616"
"212656","Geneva College","2019","137"
"212674","Gettysburg College","2019","546"
"213251","Juniata College","2019","201"
"213303","Keystone College","2019","110"
"213987","Mercyhurst University","2019","266"
"214148","Moore College of Art and Design","2019","58"
"214166","Mount Aloysius College","2019","118"
"214175","Muhlenberg College","2019","366"
"214883","Peirce College","2019","79"
"214971","Pennsylvania Academy of the Fine Arts","2019","101"
"215114","Cairn University-Langhorne","2019","107"
"215691","Rosemont College","2019","105"
"216047","Saint Charles Borromeo Seminary-Overbrook","2019","31"
"216278","Susquehanna University","2019","304"
"216357","Thiel College","2019","132"
"216542","University of Valley Forge","2019","53"
"216667","Washington & Jefferson College","2019","240"
"216807","Westminster College","2019","149"
"217013","Wilson College","2019","103"
"217165","Bryant University","2019","511"
"217402","Providence College","2019","564"
"217493","Rhode Island School of Design","2019","637"
"217518","Roger Williams University","2019","576"
"217606","Northpoint Bible College","2019","31"
"217721","Benedict College","2019","211"
"217873","Claflin University","2019","211"
"217934","Columbia College","2019","92"
"218070","Furman University","2019","670"
"218238","Limestone University","2019","168"
"218414","Newberry College","2019","126"
"218919","Voorhees University","2019","97"
"219091","Dakota Wesleyan University","2019","96"
"219718","Bethel University","2019","270"
"219833","Christian Brothers University","2019","171"
"219949","Cumberland University","2019","102"
"220181","Fisk University","2019","120"
"220206","Welch College","2019","40"
"220710","Maryville College","2019","203"
"221351","Rhodes College","2019","327"
"221731","Tennessee Wesleyan University","2019","81"
"221953","Tusculum University","2019","234"
"222877","Arlington Baptist University","2019","15"
"222983","Austin College","2019","184"
"223117","Baptist Missionary Association Theological Seminary","2019","7"
"224244","Dallas Christian College","2019","17"
"224527","East Texas Baptist University","2019","154"
"225201","Hallmark University","2019","76"
"225548","Howard Payne University","2019","137"
"225575","Huston-Tillotson University","2019","72"
"225885","Jarvis Christian University","2019","95"
"226231","LeTourneau University","2019","236"
"226587","McMurry University","2019","141"
"227429","Paul Quinn College","2019","50"
"228042","Schreiner University","2019","161"
"228468","Southwestern Adventist University","2019","72"
"229267","Trinity University","2019","540"
"230816","Bennington College","2019","211"
"230852","Champlain College","2019","256"
"230889","Goddard College","2019","51"
"230995","Norwich University","2019","427"
"231059","Saint Michael's College","2019","222"
"231420","Averett University","2019","136"
"231554","Bluefield University","2019","94"
"231581","Bridgewater College","2019","214"
"232089","Ferrum College","2019","178"
"232308","Hollins University","2019","173"
"233295","Randolph-Macon College","2019","263"
"233301","Randolph College","2019","157"
"233426","Roanoke College","2019","215"
"233718","Sweet Briar College","2019","141"
"234173","Virginia Wesleyan University","2019","137"
"235422","Heritage University","2019","99"
"237136","Appalachian Bible College","2019","33"
"237181","Bethany College","2019","105"
"238476","Carthage College","2019","239"
"238980","Lakeland University","2019","169"
"239080","Marian University","2019","100"
"239318","Milwaukee School of Engineering","2019","249"
"239628","Ripon College","2019","97"
"239716","Saint Norbert College","2019","401"
"240338","Wisconsin Lutheran College","2019","88"
"245652","St. John's College","2019","103"
"245953","Mid-America Christian University","2019","135"
"363712","Yeshivah Gedolah Rabbinical College","2019",
"367884","Hodges University","2019","84"
"385619","Everglades University","2019","136"
"399911","Soka University of America","2019","162"
"426314","Embry-Riddle Aeronautical University-Worldwide","2019","389"
"433387","Western Governors University","2019","2500"
"433536","Herzing University-New Orleans","2019","10"
"440794","Pillar College","2019","50"
"443340","Williamson Christian College","2019","8"
"444398","Baptist University of the Americas","2019","17"
"445267","Central Methodist University-College of Graduate and Extended Studies","2019","42"
"446233","Ecclesia College","2019","28"
"447953","SUM Bible College and Theological Seminary","2019","23"
"456481","Polytechnic University of Puerto Rico-Miami","2019","6"
"456490","Polytechnic University of Puerto Rico-Orlando","2019","26"
"457402","University of Fort Lauderdale","2019","8"
"457484","Pacific Rim Christian University","2019","8"
"457697","City Vision University","2019","5"
"459842","Herzing University-Kenosha","2019","17"
"461032","Carolina College of Biblical Studies","2019","5"
"461759","Simmons College of Kentucky","2019","24"
"461795","North American University","2019","38"
"464226","Ottawa University-Surprise","2019","74"
"474863","Los Angeles Pacific University","2019","99"
"475398","Catholic Distance University","2019","11"
"475608","Criswell College","2019","42"
"480569","Florida Institute of Technology-Online","2019","28"
"480985","Midwives College of Utah","2019","6"
"486284","Bethany Global University","2019","66"
"487603","Northwest University-Center for Online and Extended Education","2019","14"
"488785","University of Saint Katherine","2019","22"
"490230","Reformed University","2019","3"
"497408","Bridges Christian College","2019",
"497480","Reach University","2019",
