"unitid","institution name","year","SAL2021_NIS_RV.Full-time non-instructional staff - number","DRVEF122021_RV.Total 12-month unduplicated headcount"
"221731","Tennessee Wesleyan University","2021","89","1245"
"221953","Tusculum University","2021","183","1917"
"222877","Arlington Baptist University","2021","17","191"
"222983","Austin College","2021","178","1324"
"223117","Baptist Missionary Association Theological Seminary","2021","6","140"
"224244","Dallas Christian College","2021","20","290"
"224527","East Texas Baptist University","2021","152","1840"
"225201","Hallmark University","2021","66","1325"
"225548","Howard Payne University","2021","128","1155"
"225575","Huston-Tillotson University","2021","89","1269"
"225885","Jarvis Christian University","2021","103","934"
"226231","LeTourneau University","2021","210","3737"
"226587","McMurry University","2021","143","1230"
"227429","Paul Quinn College","2021","70","613"
"228042","Schreiner University","2021","151","1370"
"228468","Southwestern Adventist University","2021","74","928"
"229267","Trinity University","2021","483","2804"
"230816","Bennington College","2021","179","923"
"230852","Champlain College","2021","238","5790"
"230889","Goddard College","2021","50","491"
"230995","Norwich University","2021","422","5052"
"231059","Saint Michael's College","2021","190","2333"
"231420","Averett University","2021","149","1613"
"231554","Bluefield University","2021","93","1365"
"231581","Bridgewater College","2021","187","1628"
"232089","Ferrum College","2021","167","1020"
"232308","Hollins University","2021","165","943"
"233295","Randolph-Macon College","2021","266","1607"
"233301","Randolph College","2021","131","664"
"233426","Roanoke College","2021","205","1994"
"233718","Sweet Briar College","2021","141","384"
"234173","Virginia Wesleyan University","2021","114","1606"
"235422","Heritage University","2021","105","1105"
"237136","Appalachian Bible College","2021","26","285"
"237181","Bethany College","2021","101","594"
"238476","Carthage College","2021","214","2898"
"238980","Lakeland University","2021","181","3423"
"239080","Marian University","2021","131","1971"
"239318","Milwaukee School of Engineering","2021","268","2785"
"239628","Ripon College","2021","113","828"
"239716","Saint Norbert College","2021","387","2026"
"240338","Wisconsin Lutheran College","2021","93","1322"
"245652","St. John's College","2021","103","444"
"245953","Mid-America Christian University","2021","132","2617"
"363712","Yeshivah Gedolah Rabbinical College","2021","2","49"
"367884","Hodges University","2021","60","952"
"385619","Everglades University","2021","159","2738"
"399911","Soka University of America","2021","135","407"
"426314","Embry-Riddle Aeronautical University-Worldwide","2021","311","20015"
"433387","Western Governors University","2021","2999","213386"
"433536","Herzing University-New Orleans","2021","9","770"
"440794","Pillar College","2021","58","685"
"443340","Williamson Christian College","2021","6","84"
"444398","Baptist University of the Americas","2021","14","140"
"445267","Central Methodist University-College of Graduate and Extended Studies","2021","39","4787"
"446233","Ecclesia College","2021","22","220"
"447953","SUM Bible College and Theological Seminary","2021","20","647"
"456481","Polytechnic University of Puerto Rico-Miami","2021","4","187"
"456490","Polytechnic University of Puerto Rico-Orlando","2021","16","220"
"457402","University of Fort Lauderdale","2021","15","191"
"457484","Pacific Rim Christian University","2021","12","178"
"457697","City Vision University","2021","5","226"
"459842","Herzing University-Kenosha","2021","22","1123"
"461032","Carolina College of Biblical Studies","2021","4","197"
"461759","Simmons College of Kentucky","2021","39","165"
"461795","North American University","2021","45","1194"
"464226","Ottawa University-Surprise","2021","105","937"
"474863","Los Angeles Pacific University","2021","107","3266"
"475398","Catholic Distance University","2021","11","266"
"475608","Criswell College","2021","42","229"
"480569","Florida Institute of Technology-Online","2021","3","3170"
"480985","Midwives College of Utah","2021","6","350"
"486284","Bethany Global University","2021","65","411"
"487603","Northwest University-Center for Online and Extended Education","2021","14","1481"
"488785","University of Saint Katherine","2021","24","290"
"490230","Reformed University","2021","10","364"
"497408","Bridges Christian College","2021",,
"497480","Reach University","2021",,
