"unitid","institution name","year","DRVEF122020_RV.Total 12-month unduplicated headcount","SAL2020_NIS_RV.Full-time non-instructional staff - number"
"213987","Mercyhurst University","2020","2880","225"
"214148","Moore College of Art and Design","2020","427","53"
"214166","Mount Aloysius College","2020","3005","117"
"214175","Muhlenberg College","2020","2387","375"
"214883","Peirce College","2020","1765","77"
"214971","Pennsylvania Academy of the Fine Arts","2020","288","62"
"215114","Cairn University-Langhorne","2020","1695","107"
"215691","Rosemont College","2020","965","113"
"216047","Saint Charles Borromeo Seminary-Overbrook","2020","260","33"
"216278","Susquehanna University","2020","2348","280"
"216357","Thiel College","2020","767","125"
"216542","University of Valley Forge","2020","698","50"
"216667","Washington & Jefferson College","2020","1296","218"
"216807","Westminster College","2020","1317","143"
"217013","Wilson College","2020","2526","87"
"217165","Bryant University","2020","4099","488"
"217402","Providence College","2020","5254","559"
"217493","Rhode Island School of Design","2020","2557","626"
"217518","Roger Williams University","2020","5318","565"
"217606","Northpoint Bible College","2020","374","26"
"217721","Benedict College","2020","2163","168"
"217873","Claflin University","2020","2302","190"
"217934","Columbia College","2020","1611","87"
"218070","Furman University","2020","2919","620"
"218238","Limestone University","2020","2261","187"
"218414","Newberry College","2020","1342","120"
"218919","Voorhees University","2020","543","100"
"219091","Dakota Wesleyan University","2020","920","97"
"219718","Bethel University","2020","5758","254"
"219833","Christian Brothers University","2020","2296","186"
"219949","Cumberland University","2020","2857","111"
"220181","Fisk University","2020","942","116"
"220206","Welch College","2020","479","33"
"220710","Maryville College","2020","1197","185"
"221351","Rhodes College","2020","2156","312"
"221731","Tennessee Wesleyan University","2020","1233","78"
"221953","Tusculum University","2020","2200","177"
"222877","Arlington Baptist University","2020","164","14"
"222983","Austin College","2020","1326","180"
"223117","Baptist Missionary Association Theological Seminary","2020","168","8"
"224244","Dallas Christian College","2020","232","20"
"224527","East Texas Baptist University","2020","1715","152"
"225201","Hallmark University","2020","1293","75"
"225548","Howard Payne University","2020","1146","136"
"225575","Huston-Tillotson University","2020","1279","82"
"225885","Jarvis Christian University","2020","891","95"
"226231","LeTourneau University","2020","4035","201"
"226587","McMurry University","2020","1343","135"
"227429","Paul Quinn College","2020","638","53"
"228042","Schreiner University","2020","1510","116"
"228468","Southwestern Adventist University","2020","866","73"
"229267","Trinity University","2020","2843","546"
"230816","Bennington College","2020","901","197"
"230852","Champlain College","2020","6073","257"
"230889","Goddard College","2020","443","40"
"230995","Norwich University","2020","4792","425"
"231059","Saint Michael's College","2020","2689","192"
"231420","Averett University","2020","932","137"
"231554","Bluefield University","2020","1161","101"
"231581","Bridgewater College","2020","1797","195"
"232089","Ferrum College","2020","1086","172"
"232308","Hollins University","2020","933","171"
"233295","Randolph-Macon College","2020","1580","261"
"233301","Randolph College","2020","698","146"
"233426","Roanoke College","2020","2099","198"
"233718","Sweet Briar College","2020","387","111"
"234173","Virginia Wesleyan University","2020","1673","123"
"235422","Heritage University","2020","1224","100"
"237136","Appalachian Bible College","2020","276","26"
"237181","Bethany College","2020","576","107"
"238476","Carthage College","2020","2927","196"
"238980","Lakeland University","2020","3567","166"
"239080","Marian University","2020","1958","129"
"239318","Milwaukee School of Engineering","2020","2874","255"
"239628","Ripon College","2020","828","82"
"239716","Saint Norbert College","2020","2170","371"
"240338","Wisconsin Lutheran College","2020","1281","89"
"245652","St. John's College","2020","451","103"
"245953","Mid-America Christian University","2020","2382","118"
"363712","Yeshivah Gedolah Rabbinical College","2020","31",
"367884","Hodges University","2020","1307","61"
"385619","Everglades University","2020","2599","147"
"399911","Soka University of America","2020","421","158"
"426314","Embry-Riddle Aeronautical University-Worldwide","2020","20829","329"
"433387","Western Governors University","2020","190404","2929"
"433536","Herzing University-New Orleans","2020","781","9"
"440794","Pillar College","2020","744","59"
"443340","Williamson Christian College","2020","79","7"
"444398","Baptist University of the Americas","2020","171","18"
"445267","Central Methodist University-College of Graduate and Extended Studies","2020","5398","40"
"446233","Ecclesia College","2020","237","27"
"447953","SUM Bible College and Theological Seminary","2020","732","16"
"456481","Polytechnic University of Puerto Rico-Miami","2020","204","6"
"456490","Polytechnic University of Puerto Rico-Orlando","2020","350","17"
"457402","University of Fort Lauderdale","2020","73","9"
"457484","Pacific Rim Christian University","2020","177","9"
"457697","City Vision University","2020","167","5"
"459842","Herzing University-Kenosha","2020","903","18"
"461032","Carolina College of Biblical Studies","2020","223","5"
"461759","Simmons College of Kentucky","2020","235","27"
"461795","North American University","2020","1031","43"
"464226","Ottawa University-Surprise","2020","920","80"
"474863","Los Angeles Pacific University","2020","3292","110"
"475398","Catholic Distance University","2020","278","12"
"475608","Criswell College","2020","268","41"
"480569","Florida Institute of Technology-Online","2020","3479","21"
"480985","Midwives College of Utah","2020","342","5"
"486284","Bethany Global University","2020","405","59"
"487603","Northwest University-Center for Online and Extended Education","2020","1402","12"
"488785","University of Saint Katherine","2020","263","18"
"490230","Reformed University","2020","192","3"
"497408","Bridges Christian College","2020",,
"497480","Reach University","2020",,
