UnitID,Institution Name,Total expenses-Total amount (F2122_F2),Total expenses-Total amount (F2021_F2),Total expenses-Total amount (F1920_F2),Total expenses-Total amount (F1819_F2),
183822,Bloomfield College,39069633,49833119,42536489,44379880,
175430,Blue Mountain Christian University,14835443,13018148,11482313,10656022,
231554,Bluefield University,21020116,20927619,19813407,20240568,
201371,Bluffton University,20038510,19589686,21926550,21230528,
189413,Boricua College,18046243,12832608,11493411,11997740,
164872,Boston Architectural College,19275917,18071505,17805621,17327960,
156356,Brescia University,16569577,14749978,14477610,14518205,
198066,Brevard College,21899129,19862939,19879033,18875433,
139205,Brewton-Parker College,12987147,11198691,10270798,10260229,
497408,Bridges Christian College,338719,,,,
231581,Bridgewater College,51311693,49566400,50190989,50782456,
217165,Bryant University,158836000,159471000,154739000,156606000,
210492,Bryn Athyn College of the New Church,18191265,17016501,17256000,17295939,
211291,Bucknell University,254411000,238395000,237562000,239462000,
153001,Buena Vista University,42341329,38095350,41408923,42067365,
209409,Bushnell University,17155321,15205492,15199641,14948405,
215114,Cairn University-Langhorne,23721144,22224662,23235045,22060103,
110370,California College of the Arts,74289000,66265000,80782000,84785000,
150172,Calumet College of Saint Joseph,12387746,11768756,11179647,11102987,
169080,Calvin University,107453000,95607000,116382000,120746000,
189705,Canisius University,80501563,74209812,78812889,77436066,
461032,Carolina College of Biblical Studies,1314592,1433214,1389687,1351862,
180106,Carroll College,38966254,35409685,36737097,38391547,
238476,Carthage College,81402992,75110809,78259853,84284519,
198215,Catawba College,61529338,57550510,59922353,59196680,
475398,Catholic Distance University,2023005,1832986,1755676,1597091,
158477,Centenary College of Louisiana,27915894,25288794,25197729,25682839,
154855,Central Christian College of Kansas,10938654,10860091,12026235,12797681,
176910,Central Christian College of the Bible,6913925,6140964,5527526,4546012,
445267,Central Methodist University-College of Graduate and Extended Studies,,,,,
189857,Central Yeshiva Tomchei Tmimim Lubavitz,6343925,5092056,4878401,4233328,
230852,Champlain College,89812329,85869896,86042654,91559252,
198303,Chowan University,25448396,24801232,26092977,28238736,
219833,Christian Brothers University,47085615,42031823,41500125,40309719,
457697,City Vision University,563492,330647,378061,449446,
217873,Claflin University,61401874,50450458,52343915,55240149,
112260,Claremont McKenna College,157894000,121152000,130522000,127469000,
156417,Clear Creek Baptist Bible College,3471015,3339658,3223666,3122457,
169327,Cleary University,12116223,11697917,10873879,11577494,
190099,Colgate University,237918748,212119591,210170046,219228075,
169442,College for Creative Studies,62330376,53217931,56659778,56811054,
160959,College of the Atlantic,28289813,26261849,26323340,25887939,
126678,Colorado College,165740966,144273187,162651595,164558512,
177065,Columbia College,87643204,76539479,91850631,99708554,
217934,Columbia College,27859706,23543439,22490480,22338477,
144281,Columbia College Chicago,192719961,182851151,184832996,184801806,
202170,Columbus College of Art & Design,26720370,22789118,29038201,29657242,
173300,Concordia College at Moorhead,78865427,71676064,88888367,87665976,
169363,Concordia University Ann Arbor,,,,,
180984,Concordia University-Nebraska,40052540,43469765,35915125,36693322,
153162,Cornell College,47881933,40673318,41974157,41663763,
139393,Covenant College,33324618,29756910,29648337,31590725,
475608,Criswell College,9705109,8458081,7084865,6311138,
174862,Crown College,19437577,17575588,17074609,18238433,
177144,Culver-Stockton College,21803940,20705994,21462004,21244487,
219949,Cumberland University,32675710,30817045,29005672,26932713,
165529,Curry College,75586139,77995720,77345858,79744294,
211893,Curtis Institute of Music,24801359,22571943,23499170,23059459,
219091,Dakota Wesleyan University,19929478,18345927,18646705,19394164,
224244,Dallas Christian College,5588523,4585062,4106154,4283505,
169479,Davenport University,94963266,91964139,94058795,95690327,
202514,Defiance College,17181503,16325119,15026491,16304325,
212009,Dickinson College,120991849,108188032,124491080,129952814,
158802,Dillard University,50886479,40491682,38370573,47156837,
153250,Dordt University,48291300,43048660,42887590,41838447,
177214,Drury University,46559049,42519741,46693322,47735238,
150455,Earlham College,56901564,52016816,59020085,64471252,
224527,East Texas Baptist University,45096299,40655196,37773371,36408974,
165644,Eastern Nazarene College,20374980,19615857,20793430,19717396,
446233,Ecclesia College,2472364,2423074,2500194,2716643,
133526,Edward Waters University,40867388,27623018,23200847,22803969,
190983,Elmira College,30013948,27575980,35203507,36025590,
104586,Embry-Riddle Aeronautical University-Prescott,98554000,88993000,82336000,78189000,
426314,Embry-Riddle Aeronautical University-Worldwide,76212000,77114000,85793000,85090000,
165662,Emerson College,241733752,218288036,218407506,209149918,
165671,Emmanuel College,75813506,62341675,74015673,71980055,
139630,Emmanuel University,18130696,16236474,15818523,16271571,
385619,Everglades University,34607000,28772607,27137699,26523104,
232089,Ferrum College,32549265,27481992,29752925,32655651,
165802,Fisher College,22311603,21375819,22859294,24837521,
220181,Fisk University,34579091,31276467,28661661,28748734,
133711,Flagler College,68680941,62387521,63182925,62106503,
480569,Florida Institute of Technology-Online,3081159,6343985,7297890,7747703,
133979,Florida Memorial University,50283509,44077244,43647824,37497037,
205957,Franciscan University of Steubenville,82266881,72795713,75631764,75001062,
150604,Franklin College,32175366,31358557,30465549,30227843,
114813,Fresno Pacific University,70232754,60212287,65573886,63251329,
218070,Furman University,167405832,148635510,163131431,166265813,
212656,Geneva College,36192847,33469163,33231869,34031726,
156745,Georgetown College,33374700,32482831,31075684,32042468,
212674,Gettysburg College,130075469,123794084,133317883,136889620,
230889,Goddard College,8495217,7451802,8369245,8713108,
202903,Gods Bible School and College,5654252,4647544,4343737,4458462,
165936,Gordon College,60602745,58785171,62253752,65676081,
162654,Goucher College,70187000,58071000,69289000,73935000,
170000,Grace Christian University,13002112,11402631,12096476,14043264,
153375,Grand View University,39372694,37697741,36607154,37238719,
198598,Greensboro College,20464068,18061813,17927471,18391879,
145372,Greenville University,28785900,25999508,26621254,25924271,
198613,Guilford College,48352041,46215022,53340247,49637229,
225201,Hallmark University,18446537,17839388,16082607,14627535,
177542,Hannibal-LaGrange University,14995910,15098104,14604706,14708102,
191533,Hartwick College,57383889,52256287,49887778,49265543,
181127,Hastings College,30107949,26638935,30148961,28498957,
203085,Heidelberg University,36498637,34712643,33782773,36679968,
166054,Hellenic College-Holy Cross Greek Orthodox School of Theology,13408607,9825864,10542290,12357606,
107080,Hendrix College,46822675,46881064,49009653,55403093,
198677,Heritage Bible College,449475,398066,419357,387861,
101453,Heritage Christian University,3331617,3508300,3413020,2995640,
235422,Heritage University,24849224,23764254,21978743,23258421,
459842,Herzing University-Kenosha,10884628,10091267,7744182,5476784,
174154,Herzing University-Minneapolis,11011422,9155209,7938845,6875495,
433536,Herzing University-New Orleans,5005273,4889331,4104682,3778356,
191621,Hilbert College,19103046,17621262,15240846,14726318,
203128,Hiram College,38489082,34051918,33559306,33756675,
191630,Hobart William Smith Colleges,103005615,92533877,104720372,109579994,
134510,Hobe Sound Bible College,5267256,4753832,4499017,4753959,
367884,Hodges University,19984104,17565183,20172241,21267987,
232308,Hollins University,38619488,34380545,35551817,37897512,
129534,Holy Apostles College and Seminary,5009183,4889700,4395797,4149562,
191676,Houghton University,32208092,30102086,32012635,33104743,
225548,Howard Payne University,22724119,21451504,22215951,23784033,
164368,Hult International Business School,138093502,110911152,108817653,105229957,
101435,Huntingdon College,25029686,24281776,23465278,23501092,
225575,Huston-Tillotson University,37063484,27305086,22310766,20009948,
145691,Illinois College,38975887,35658003,36103567,35406037,
191931,Iona University,115616000,105992000,103201000,105764000,
225885,Jarvis Christian University,21668522,18273128,20062156,19640441,
107141,John Brown University,49601345,45728291,48365104,52394575,
203368,John Carroll University,98180989,92826935,96581240,96588487,
198756,Johnson C Smith University,47412696,44811190,44723714,46625074,
213251,Juniata College,54887132,50930727,50642192,57047917,
155308,Kansas Christian College,4644440,3297282,3038721,2899180,
155414,Kansas Wesleyan University,22850978,19868615,17526478,17993741,
157100,Kentucky Christian University,11092081,10488299,10647774,12703809,
169983,Kettering University,61993134,61415127,65925551,65699329,
192192,Keuka College,34437302,33263451,38240134,39640503,
213303,Keystone College,27549476,25710519,27733921,27622261,
171881,Kuyper College,5700436,5136974,5156588,4943427,
140234,LaGrange College,27195753,26900243,32068646,32869329,
